xmin,xmax,ymin,ymax
-180,-120,-56,-42.075
-120,-60,-56,-42.075
-60,0,-56,-42.075
0,60,-56,-42.075
60,120,-56,-42.075
120,180,-56,-42.075
-180,-120,-42.075,-28.15
-120,-60,-42.075,-28.15
-60,0,-42.075,-28.15
0,60,-42.075,-28.15
60,120,-42.075,-28.15
120,180,-42.075,-28.15
-180,-120,-28.15,-14.225
-120,-60,-28.15,-14.225
-60,0,-28.15,-14.225
0,60,-28.15,-14.225
60,120,-28.15,-14.225
120,180,-28.15,-14.225
-180,-120,-14.225,-0.300000000000001
-120,-60,-14.225,-0.300000000000001
-60,0,-14.225,-0.300000000000001
0,60,-14.225,-0.300000000000001
60,120,-14.225,-0.300000000000001
120,180,-14.225,-0.300000000000001
-180,-120,-0.300000000000001,13.625
-120,-60,-0.300000000000001,13.625
-60,0,-0.300000000000001,13.625
0,60,-0.300000000000001,13.625
60,120,-0.300000000000001,13.625
120,180,-0.300000000000001,13.625
-180,-120,13.625,27.55
-120,-60,13.625,27.55
-60,0,13.625,27.55
0,60,13.625,27.55
60,120,13.625,27.55
120,180,13.625,27.55
-180,-120,27.55,41.475
-120,-60,27.55,41.475
-60,0,27.55,41.475
0,60,27.55,41.475
60,120,27.55,41.475
120,180,27.55,41.475
-180,-120,41.475,55.4
-120,-60,41.475,55.4
-60,0,41.475,55.4
0,60,41.475,55.4
60,120,41.475,55.4
120,180,41.475,55.4
-180,-120,55.4,69.325
-120,-60,55.4,69.325
-60,0,55.4,69.325
0,60,55.4,69.325
60,120,55.4,69.325
120,180,55.4,69.325
-180,-120,69.325,83.25
-120,-60,69.325,83.25
-60,0,69.325,83.25
0,60,69.325,83.25
60,120,69.325,83.25
120,180,69.325,83.25
